date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-21 19:00:00,1,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",20,10.0,10.0,9.7,81.0,6.5,6.3,0.0,0.0,1016.4
2024-03-22 20:00:00,59,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1182,3.0,9.23728813559322,10.2,94.0,9.2,8.1,0.0,0.5,1005.5
2024-03-22 21:00:00,57,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1142,3.0,9.385964912280702,10.0,94.0,9.0,7.6,0.0,0.6,1005.2
2024-03-24 21:00:00,57,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1142,0.0,9.456140350877194,4.5,92.0,3.3,0.3,0.0,0.3,992.9
2024-03-24 22:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,0.0,9.293103448275861,4.4,93.0,3.4,0.6,0.0,0.6,992.5
2024-03-25 05:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,0.0,9.53448275862069,4.5,94.0,3.7,0.3,0.0,0.0,996.5
2024-03-25 07:00:00,57,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1142,0.0,8.368421052631579,5.1,92.0,4.0,1.1,0.0,0.0,998.3
2024-03-25 21:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,15.0,9.46551724137931,2.0,91.0,0.7,-1.1,0.0,0.0,1001.3
2024-03-25 22:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,15.0,9.517241379310345,1.8,91.0,0.5,-1.2,0.0,0.0,1001.5
2024-03-27 00:00:00,29,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",581,6.0,9.482758620689655,7.0,64.0,0.5,2.6,0.0,0.0,987.7
2024-03-27 09:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,6.0,8.551724137931034,12.3,59.0,4.4,8.4,0.0,0.0,985.3
2024-03-27 23:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,8.0,9.431034482758621,10.0,83.0,7.2,7.0,0.0,0.0,981.0
2024-03-28 00:00:00,29,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",581,8.0,9.482758620689655,9.5,85.0,7.1,6.5,0.0,0.0,980.4
2024-03-30 07:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,7.0,9.275862068965518,10.8,85.0,8.5,8.6,0.0,0.0,996.7
2024-03-30 08:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,6.0,9.448275862068966,13.6,80.0,10.2,11.8,0.0,0.0,996.5
2024-03-30 12:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,7.0,8.60344827586207,21.2,54.0,11.7,20.3,0.0,0.0,995.2
2024-03-30 22:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,9.0,9.310344827586206,12.1,79.0,8.5,10.4,0.0,0.0,994.0
2024-03-30 23:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,9.0,9.5,10.2,86.0,8.0,8.6,0.0,0.0,993.9
2024-03-31 01:00:00,29,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",581,9.0,9.517241379310345,10.4,82.0,7.5,8.6,0.0,0.0,993.6
2024-04-01 05:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,8.0,9.5,9.4,93.0,8.3,6.9,0.0,0.0,991.2
2024-04-01 22:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,13.0,8.931034482758621,10.1,79.0,6.6,5.3,0.0,0.0,993.6
2024-04-02 19:00:00,59,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1182,4.0,8.915254237288135,10.3,67.0,4.4,6.2,0.0,0.0,1000.3
2024-04-02 20:00:00,57,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1142,4.0,9.263157894736842,9.6,73.0,5.0,5.1,0.0,0.0,1000.5
2024-04-03 07:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,2.0,8.620689655172415,8.7,88.0,6.9,5.5,0.0,0.1,1001.6
2024-04-03 09:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,3.0,8.60344827586207,9.0,85.0,6.6,6.3,0.0,0.0,1002.9
2024-04-03 19:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,9.0,9.155172413793103,10.1,93.0,9.0,8.0,0.0,0.1,1003.6
2024-04-03 21:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,9.0,9.46551724137931,9.5,93.0,8.4,7.1,0.0,0.0,1003.5
2024-04-03 22:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,9.0,9.551724137931034,9.5,90.0,8.0,6.8,0.0,0.0,1003.6
2024-04-03 23:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,9.0,9.551724137931034,9.1,90.0,7.6,6.4,0.0,0.0,1003.6
2024-04-04 06:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,6.0,8.620689655172415,9.3,90.0,7.8,6.4,0.0,0.0,1003.9
2024-04-05 02:00:00,57,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1142,16.0,9.526315789473685,9.4,88.0,7.5,6.5,0.0,0.0,1006.6
2024-04-05 06:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,15.0,8.620689655172415,10.3,87.0,8.2,7.4,0.0,0.0,1008.3
2024-04-05 08:00:00,31,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",621,13.0,8.32258064516129,13.8,78.0,10.1,11.6,0.0,0.0,1008.7
2024-04-05 12:00:00,58,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",1162,14.0,7.655172413793103,18.0,62.0,10.6,15.4,0.0,0.0,1007.6
2024-04-13 09:00:00,29,Titova cesta 15,"{'lat': 46.551963, 'lng': 15.651564}",581,11.0,8.931034482758621,20.1285,55.0,10.805012,20.176014,0.0,0.0,995.4256
